Restaurant,Cuisine,Budget,Rating,City
"Ramirez, Perez and Davenport",Indian,$$$,2.4,Paris
Gregory LLC,Japanese,$,1.4,Paris
Pearson-Bailey,Mexican,$$,4.8,Paris
Vega and Sons,Mexican,$$$,1.9,Paris
Williams LLC,Indian,$$$,1.8,Paris
"Tran, Fitzpatrick and Santiago",Indian,$$$,1.3,Paris
Thomas and Sons,Chinese,$,4.7,Paris
Adams-Simon,Chinese,$,1.8,Paris
"Thompson, Jones and Vega",French,$$,1.6,Paris
Rodriguez-Robinson,Italian,$$$,2.7,Paris
Bray-Vaughn,Mexican,$,2.2,Paris
Peterson and Sons,French,$$$,1.5,Paris
Tanner-Lucas,Indian,$,4.8,Paris
Wallace LLC,Indian,$,2.1,Paris
Williams-Sanchez,French,$$,4.9,Paris
"Jackson, Mitchell and Williams",Indian,$$$,1.4,Paris
"Silva, Sutton and Fisher",Indian,$,1.5,Paris
Atkins-Pennington,Chinese,$$,2.9,Paris
Smith-Galloway,Italian,$,3.3,Paris
Ochoa-Martinez,Mexican,$$,4.1,Paris
"Baird, Ross and Duran",Italian,$,3.4,New York
Sanchez Group,Italian,$$,1.8,New York
Edwards-Mills,Indian,$$$,1.2,New York
"Mullen, West and Clay",French,$,1.5,New York
Rowe-Rangel,Chinese,$$,4.2,New York
Sanchez-Johnson,Japanese,$,4.5,New York
Welch Group,Italian,$,3.4,New York
Estrada PLC,Indian,$$$,4.6,New York
"Leach, Jenkins and Edwards",Indian,$,1.9,New York
"Moore, Walker and Valencia",Chinese,$,3.3,New York
Johnson Group,French,$$$,2.5,New York
Howell-Hess,Chinese,$,4.0,New York
"Lucero, Bailey and Willis",Japanese,$,4.5,New York
Shepherd-Thomas,Mexican,$,4.0,New York
"Mullen, Williams and Valencia",Italian,$$,3.0,New York
Boyle PLC,Japanese,$$$,2.2,New York
"Willis, Deleon and Parks",French,$$$,2.5,New York
"Powell, Holmes and Miller",Japanese,$,2.3,New York
Davis and Sons,French,$,2.9,New York
Browning and Sons,Indian,$$,4.6,New York
"Bennett, Lyons and Mccoy",Italian,$$$,1.5,Tokyo
Garcia Inc,Mexican,$$$,1.9,Tokyo
Baker-Wells,French,$,2.0,Tokyo
Schwartz Ltd,Italian,$,2.9,Tokyo
Johnson-Hernandez,Italian,$,3.8,Tokyo
"Ballard, Schwartz and Ibarra",Chinese,$$$,1.3,Tokyo
"Hall, Williams and Garcia",Indian,$$$,4.6,Tokyo
Wong-Eaton,Japanese,$$,3.7,Tokyo
"Lewis, Martin and Porter",French,$$$,1.5,Tokyo
White-Page,Indian,$$$,1.9,Tokyo
Nielsen PLC,Japanese,$,4.9,Tokyo
Ward-Woodard,French,$$$,2.7,Tokyo
Pena-Jackson,Japanese,$,4.6,Tokyo
Allen PLC,Chinese,$,3.0,Tokyo
"Hall, Robinson and Cisneros",French,$$$,3.3,Tokyo
Bailey and Sons,Mexican,$,4.1,Tokyo
"Leonard, Williams and Blackwell",Chinese,$$$,3.9,Tokyo
"Flores, Nelson and Cardenas",Indian,$$$,2.3,Tokyo
Gonzalez Inc,Mexican,$$,4.8,Tokyo
Mitchell Ltd,Chinese,$$,4.5,Tokyo
"Gonzalez, Hughes and Roberts",Italian,$$,1.9,London
"Brown, Walsh and Parks",French,$$$,4.6,London
Hernandez Ltd,Chinese,$$$,4.7,London
"Reed, Baker and Lee",Mexican,$$$,4.4,London
"Ho, Bolton and Watson",French,$$$,4.1,London
Parker Inc,Japanese,$,3.8,London
"Phillips, Carroll and Stokes",French,$$$,1.2,London
Perez-Mcgee,French,$$$,2.2,London
Rodriguez-Patterson,French,$$,2.3,London
"Wilson, Jensen and Bautista",Indian,$$$,2.4,London
"Jones, Myers and Miles",French,$,1.8,London
"Nelson, Hudson and Kelly",Japanese,$,2.1,London
"Green, King and Franklin",Indian,$,2.3,London
Rodriguez Ltd,Indian,$$$,1.4,London
"Ashley, Johnson and Simmons",Italian,$$,2.0,London
Barber-Cannon,Italian,$$,4.4,London
"Wilson, Anderson and Rowe",Indian,$$,1.2,London
Morris Group,French,$$$,1.6,London
"Wolf, Rodriguez and Luna",Chinese,$,2.3,London
Davis Group,Mexican,$$$,4.2,London
"Conner, Russell and Rios",Italian,$$$,4.9,Berlin
Mack-Ramirez,Italian,$$$,4.6,Berlin
Cooley Group,Italian,$$$,3.2,Berlin
Black and Sons,Indian,$,1.7,Berlin
"Shepherd, Miller and Jones",French,$$$,4.2,Berlin
"James, Paul and Nunez",Chinese,$$$,3.7,Berlin
"Vargas, Brewer and Kerr",Italian,$,4.0,Berlin
Dixon-George,Italian,$,2.4,Berlin
"Adams, Hall and Lyons",Mexican,$,2.6,Berlin
Davis Inc,Chinese,$,3.4,Berlin
Mitchell-Hall,Japanese,$$,4.1,Berlin
Maldonado Group,Mexican,$,2.9,Berlin
Greene-Hernandez,Chinese,$$$,1.3,Berlin
Haas LLC,Chinese,$$,3.0,Berlin
Poole and Sons,Indian,$$,4.2,Berlin
Miller-Johnson,Japanese,$,2.7,Berlin
"Thomas, Porter and Ward",Indian,$,4.2,Berlin
Ballard Inc,Indian,$$$,1.9,Berlin
Li Inc,Mexican,$$$,3.3,Berlin
Smith-Carey,Chinese,$$,3.8,Berlin
Meyers-Reed,Mexican,$$,1.3,Dubai
"Mccall, Perez and Norman",Mexican,$$$,2.5,Dubai
Fleming LLC,Japanese,$$,2.8,Dubai
Mcguire Inc,Italian,$,3.4,Dubai
"Robinson, Howard and Ramos",Italian,$,1.9,Dubai
Daniel-Boyer,French,$$,2.7,Dubai
"Clark, Ferrell and White",Japanese,$$$,3.4,Dubai
King-Wang,Japanese,$$,3.0,Dubai
"Long, Anderson and Mooney",Italian,$$$,4.9,Dubai
Walsh-Cruz,Chinese,$$,3.7,Dubai
Nelson and Sons,Indian,$$$,2.2,Dubai
"Williams, Dillon and Jones",French,$,3.1,Dubai
Wagner PLC,French,$,1.6,Dubai
Gardner-Oliver,Japanese,$$$,1.5,Dubai
Sullivan-Gonzalez,Mexican,$,4.5,Dubai
Nguyen Ltd,Japanese,$$$,4.2,Dubai
"George, Macdonald and Burton",Japanese,$$$,4.3,Dubai
Young-Mooney,Japanese,$$$,1.6,Dubai
Jones and Sons,Japanese,$$$,2.9,Dubai
"Turner, Perez and Fisher",Mexican,$,1.5,Dubai
"Mcdaniel, Smith and Simpson",Mexican,$,1.3,Singapore
"Oliver, Peterson and Peterson",Mexican,$$$,1.2,Singapore
"Rosario, Conley and Carter",Japanese,$$$,1.2,Singapore
Guerra LLC,Chinese,$,2.5,Singapore
Oneill LLC,Chinese,$$$,1.3,Singapore
Mahoney and Sons,French,$$,3.0,Singapore
Mccarthy Ltd,Chinese,$$,1.1,Singapore
Morgan PLC,Mexican,$,2.8,Singapore
"Long, Little and Gross",French,$,2.4,Singapore
"Nelson, Moore and Pacheco",Chinese,$$,2.8,Singapore
Thomas-Robertson,Mexican,$,1.2,Singapore
Rodriguez-Moreno,Italian,$$$,1.7,Singapore
Cox-Ramsey,French,$,3.0,Singapore
"Parker, Harrison and Braun",Chinese,$$,3.4,Singapore
Sparks-James,Mexican,$$,3.7,Singapore
"Jones, Green and Ewing",Mexican,$,3.9,Singapore
"Lewis, Rose and Leon",Mexican,$$$,2.3,Singapore
Wong-Herrera,Indian,$,2.3,Singapore
"Aguilar, Middleton and Ryan",Chinese,$$$,3.3,Singapore
Reyes Group,Mexican,$$$,2.6,Singapore
Atkinson-Wade,Italian,$,3.4,Sydney
"Williams, Hill and Smith",Mexican,$$$,4.6,Sydney
Smith and Sons,Mexican,$$$,2.0,Sydney
Sparks Ltd,Chinese,$$,3.4,Sydney
"Evans, Hawkins and Gonzalez",Japanese,$$$,2.3,Sydney
"Stevens, Bennett and Lamb",Mexican,$$$,3.6,Sydney
Warren Inc,Japanese,$$$,4.1,Sydney
"King, Parker and Miller",Japanese,$$$,2.9,Sydney
"Ewing, Guerrero and Combs",Indian,$$$,2.9,Sydney
Baldwin-Bell,Indian,$$,1.6,Sydney
Williams Inc,Japanese,$$$,4.5,Sydney
Lewis-Washington,Japanese,$$$,2.9,Sydney
"Hunt, Thomas and Allen",French,$$$,4.9,Sydney
"Browning, Woodard and Johnson",Indian,$,2.4,Sydney
Griffin-Campos,Italian,$$$,2.3,Sydney
Jackson-Ross,Japanese,$$$,2.6,Sydney
Tanner-Nguyen,Japanese,$,3.4,Sydney
Fleming-Elliott,Mexican,$$,2.3,Sydney
Williamson Group,Italian,$$,4.4,Sydney
"Turner, Blankenship and Jackson",Indian,$$$,4.8,Sydney
"Mccullough, Patel and Gonzalez",Italian,$$$,4.8,Mumbai
White-Coleman,French,$,1.4,Mumbai
"Avila, Lee and Murphy",Italian,$,1.7,Mumbai
Vance-Garcia,Mexican,$$$,4.1,Mumbai
Robinson-Brown,Italian,$$$,3.8,Mumbai
Thomas PLC,Japanese,$$,3.2,Mumbai
"Johnson, Chavez and Jefferson",Japanese,$,2.6,Mumbai
Franco-Burgess,Mexican,$$$,1.7,Mumbai
Garza-Conley,Italian,$$$,1.7,Mumbai
"Edwards, Perez and Page",Mexican,$,1.1,Mumbai
Peterson-Wilkins,French,$$$,4.4,Mumbai
Wilson Ltd,Italian,$,3.1,Mumbai
Archer Group,French,$$,3.1,Mumbai
Pierce-Johnson,Japanese,$$,2.6,Mumbai
Diaz LLC,Italian,$,2.9,Mumbai
"Diaz, Mcdonald and Wilson",Italian,$$,2.7,Mumbai
Peterson Ltd,Japanese,$$$,3.0,Mumbai
"Guzman, Jones and Gould",Mexican,$,1.6,Mumbai
"Wilson, Thomas and Jones",Japanese,$$,3.8,Mumbai
Atkins Ltd,Japanese,$$$,1.9,Mumbai
Mclean Inc,Mexican,$,1.8,Hong Kong
King Inc,Chinese,$$$,1.1,Hong Kong
Ward Inc,Mexican,$$,4.9,Hong Kong
"Davis, Lee and Spencer",Indian,$$,1.7,Hong Kong
"Hubbard, Drake and Levy",Italian,$,4.3,Hong Kong
Peterson-Wall,Indian,$$$,1.1,Hong Kong
Price-Mcintosh,Chinese,$,4.1,Hong Kong
Molina and Sons,Italian,$$,3.0,Hong Kong
Vaughan and Sons,Italian,$,4.9,Hong Kong
Atkinson-Nichols,Indian,$,1.7,Hong Kong
Nguyen-Johnson,Chinese,$$,3.5,Hong Kong
Lewis-Mills,Japanese,$,4.8,Hong Kong
Barnett-Miller,Italian,$$$,4.4,Hong Kong
"Scott, White and Walker",Italian,$,3.4,Hong Kong
Daniels LLC,Indian,$$,4.5,Hong Kong
Peck PLC,Indian,$$$,1.0,Hong Kong
Allen-Barnes,Indian,$,1.9,Hong Kong
Peterson-Castro,French,$,1.0,Hong Kong
Bass Inc,Chinese,$,1.9,Hong Kong
Olson-Friedman,Mexican,$$,3.1,Hong Kong
